编号,课件名称,授课人,职务,课时(分),格式,课程简介,制作时间
"NGC70T2225045_2504","人工智能如何助力经济高质量发展（上）","盛振中","新为数智研究院首席智能官、浙江大学特邀讲师",35,"专家讲授精制视频","人工智能是新一轮科技革命和产业变革的重要驱动力量，将对全球经济社会发展和人类文明进步产生深远影响。习近平总书记指出：“中国高度重视人工智能发展，积极推动互联网、大数据、人工智能和实体经济深度融合，培育壮大智能产业，加快发展新质生产力，为高质量发展提供新动能。”人工智能在新一轮科技革命和产业变革的浪潮中，既是推动效率提升的工具，更是重构人类生产生活方式的重要力量，将推动生产方式全面变革。本课程由新为数智研究院首席智能官、浙江大学特邀讲师盛振中主讲，主要内容是：人工智能与新质生产力。",2025.4
"NGC70T2325045_2504","人工智能如何助力经济高质量发展（下）","盛振中","新为数智研究院首席智能官、浙江大学特邀讲师",32,"专家讲授精制视频","人工智能是新一轮科技革命和产业变革的重要驱动力量，将对全球经济社会发展和人类文明进步产生深远影响。习近平总书记指出：“中国高度重视人工智能发展，积极推动互联网、大数据、人工智能和实体经济深度融合，培育壮大智能产业，加快发展新质生产力，为高质量发展提供新动能。”人工智能在新一轮科技革命和产业变革的浪潮中，既是推动效率提升的工具，更是重构人类生产生活方式的重要力量，将推动生产方式全面变革。本课程由新为数智研究院首席智能官、浙江大学特邀讲师盛振中主讲，主要内容是：人工智能是数字经济发展的重要引擎；人工智能的应用。",2025.4
"NGC70T2425045_2504","人工智能对企业的战略价值和发展趋势展望","盛振中","新为数智研究院首席智能官、浙江大学特邀讲师",38,"专家讲授精制视频","随着人工智能技术的不断进步和应用范围的扩大，人工智能已经开始成为了许多企业的核心竞争优势。企业运用人工智能技术可以做到大幅度提高效率，降低成本，促进创新，从而增强行业竞争力。未来，人工智能技术将在在更广阔的领域内应用和发展，推动产业转型升级和经济高质量发展，重塑人类生产生活方式。本课程由新为数智研究院首席智能官、浙江大学特邀讲师盛振中主讲，主要内容是：人工智能对企业的战略价值；人工智能发展趋势展望。",2025.4
"NGC70T3325075_2507","人工智能下实体经济的智能化转型（上）","张翔","浙江财经大学大数据与智能决策研究所副所长",48,"专家讲授精制视频","随着全球科技革命和产业变革的深入推进，数字化、智能化已成为推动经济高质量发展的核心力量。智能化转型是在智能技术支撑下实现产业升级的重要路径，通过人工智能、物联网等技术赋予系统感知、决策和自适应能力，提升生产效率，培育新动能、推动实体经济发展，实现经济结构优化升级。本课程由浙江财经大学大数据与智能决策研究所副所长张翔主讲，主要内容是：钱从哪来；人工智能概述；智能化转型的背景及意义。",2025.7
"NGC70T3425075_2507","人工智能下实体经济的智能化转型（中）","张翔","浙江财经大学大数据与智能决策研究所副所长",45,"专家讲授精制视频","随着全球科技革命和产业变革的深入推进，数字化、智能化已成为推动经济高质量发展的核心力量。智能化转型是在智能技术支撑下实现产业升级的重要路径，通过人工智能、物联网等技术赋予系统感知、决策和自适应能力，提升生产效率，培育新动能、推动实体经济发展，实现经济结构优化升级。本课程由浙江财经大学大数据与智能决策研究所副所长张翔主讲，主要内容是：实体经济智能化转型及应用。",2025.7
"NGC70T3525075_2507","人工智能下实体经济的智能化转型（下）","张翔","浙江财经大学大数据与智能决策研究所副所长",35,"专家讲授精制视频","随着全球科技革命和产业变革的深入推进，数字化、智能化已成为推动经济高质量发展的核心力量。智能化转型是在智能技术支撑下实现产业升级的重要路径，通过人工智能、物联网等技术赋予系统感知、决策和自适应能力，提升生产效率，培育新动能、推动实体经济发展，实现经济结构优化升级。本课程由浙江财经大学大数据与智能决策研究所副所长张翔主讲，主要内容是：智能化转型的挑战；新机遇下的自我修炼。",2025.7
"NGC70N2625085_2508","工业机器人应用、上下游产业关联与中国企业出口产品质量（上）","胡国庆","北京大学深圳研究院副研究员、北京大学深圳研究院6G与人工智能课题组组长",41,"专家讲授精制视频","工业机器人的硬件进化不断发展，从自动化设备到移动机器人，从协作机器人到人形机器人，当下，已经进入了AI大模型与机器人在底层技术创新和应用融合的交叉时代。生成式AI技术正在兑现提升机器人关键能力的潜力，在环境感知、自主决策、学习与适应等多个方面均有表现。具身智能技术作为人工智能和机器人技术的融合发展前沿，集成了AI、先进制造、新材料等先进技术，是推动新质生产力发展的重要引擎，将对社会产业变革和全球竞争格局产生颠覆性影响。本课程由北京大学深圳研究院副研究员、北京大学深圳研究院6G与人工智能课题组组长胡国庆主讲，主要内容是：工业机器人（具身智能）发展背景；工业机器人（具身智能）发展现状与上下游产业链分析。",2025.8
"NGC70N2725085_2508","工业机器人应用、上下游产业关联与中国企业出口产品质量（下）","胡国庆","北京大学深圳研究院副研究员、北京大学深圳研究院7G与人工智能课题组组长",27,"专家讲授精制视频","工业机器人的硬件进化不断发展，从自动化设备到移动机器人，从协作机器人到人形机器人，当下，已经进入了AI大模型与机器人在底层技术创新和应用融合的交叉时代。生成式AI技术正在兑现提升机器人关键能力的潜力，在环境感知、自主决策、学习与适应等多个方面均有表现。具身智能技术作为人工智能和机器人技术的融合发展前沿，集成了AI、先进制造、新材料等先进技术，是推动新质生产力发展的重要引擎，将对社会产业变革和全球竞争格局产生颠覆性影响。本课程由北京大学深圳研究院副研究员、北京大学深圳研究院7G与人工智能课题组组长胡国庆主讲，主要内容是：工业机器人（具身智能）应用场景与中国企业产品分析。",2025.8
"NGC70T2825085_2508","具身智能机器人操作系统与应用技术（上）","侯人鸾","北京航空航天大学杭州创新研究院副研究员",38,"专家讲授精制视频","具身智能是指智能体通过身体与环境的互动产生的智能行为，强调智能体的认知和行动在物理环境中的相互依赖，是将人工智能融入机器人这类物理实体，为“大脑”赋予了“身体”，使得它们拥有像人一样感知、学习和与环境动态交互的能力。如今具身智能已成为人工智能和机器人学的重要研究方向，随着技术的不断成熟、应用的不断拓展，具身智能产品将在智能制造、智能家居、智慧医疗、智能服务等多个领域发挥重要作用。本课程由北京航空航天大学杭州创新研究院副研究员侯人鸾主讲，主要内容是：机器人系统认识与发展。",2025.8
"NGC70T2925085_2508","具身智能机器人操作系统与应用技术（中）","侯人鸾","北京航空航天大学杭州创新研究院副研究员",47,"专家讲授精制视频","具身智能是指智能体通过身体与环境的互动产生的智能行为，强调智能体的认知和行动在物理环境中的相互依赖，是将人工智能融入机器人这类物理实体，为“大脑”赋予了“身体”，使得它们拥有像人一样感知、学习和与环境动态交互的能力。如今具身智能已成为人工智能和机器人学的重要研究方向，随着技术的不断成熟、应用的不断拓展，具身智能产品将在智能制造、智能家居、智慧医疗、智能服务等多个领域发挥重要作用。本课程由北京航空航天大学杭州创新研究院副研究员侯人鸾主讲，主要内容是：智能机器人操作系统及其开发环境。",2025.8
"NGC70T3025085_2508","具身智能机器人操作系统与应用技术（下）","侯人鸾","北京航空航天大学杭州创新研究院副研究员",42,"专家讲授精制视频","具身智能是指智能体通过身体与环境的互动产生的智能行为，强调智能体的认知和行动在物理环境中的相互依赖，是将人工智能融入机器人这类物理实体，为“大脑”赋予了“身体”，使得它们拥有像人一样感知、学习和与环境动态交互的能力。如今具身智能已成为人工智能和机器人学的重要研究方向，随着技术的不断成熟、应用的不断拓展，具身智能产品将在智能制造、智能家居、智慧医疗、智能服务等多个领域发挥重要作用。本课程由北京航空航天大学杭州创新研究院副研究员侯人鸾主讲，主要内容是：具身智能机器人操作系统应用。",2025.8
"CGC70T3125085_2508","DeepSeek如何赋能职场应用","智库专家团","精英在线特邀智库团",43,"彩课","DeepSeek是当下较为流行的AI助手，凭借自然语言处理、机器学习与深度学习、大数据分析等核心技术优势，在推理、自然语言理解与生成、图像与视频分析、语音识别与合成、个性化推荐、大数据处理与分析、跨模态学习以及实时交互与响应等八大领域表现出色。本课程的主要内容是：DeepSeek的三种模式及对比；DeepSeek的两种模型对比；两种模型的提示语差异与技巧；如何使用DeepSeek制作可视化图表、PPT、海报、视频、文案；如何使用DeepSeek开发AI应用；如何使用DeepSeek进行市场调查；如何利用DeepSeek实现人机高效协作。",2025.8
"NGC70T2425095_2509","AI赋能游戏产业的前沿关键技术研究与应用（一）","刘玉华","杭州电子科技大学数字媒体技术系主任、副教授",34,"专家讲授精制视频","随着人工智能（AI）技术的飞速发展，其在游戏产业中的应用正逐渐从概念走向现实，成为推动游戏创作、体验和商业模式变革的重要力量。AI不仅能够显著提升游戏的创作效率和质量，还能为玩家带来更加丰富和个性化的游戏体验。未来，AI技术将会深度融合游戏领域，实时生成内容技术的应用会变的越来越常态化。游戏世界能够依据玩家的选择，实时生成场景、剧情与角色，将视觉、听觉、触觉等多种感官信息连接共鸣，让玩家全方位沉浸于游戏情境之中，彻底打破传统游戏内容固定的局限。本课程由杭州电子科技大学数字媒体技术系主任、副教授刘玉华主讲，主要内容是：游戏三维场景轻量化构建。",2025.9
"NGC70T2525095_2509","AI赋能游戏产业的前沿关键技术研究与应用（二）","刘玉华","杭州电子科技大学数字媒体技术系主任、副教授",41,"专家讲授精制视频","随着人工智能（AI）技术的飞速发展，其在游戏产业中的应用正逐渐从概念走向现实，成为推动游戏创作、体验和商业模式变革的重要力量。AI不仅能够显著提升游戏的创作效率和质量，还能为玩家带来更加丰富和个性化的游戏体验。未来，AI技术将会深度融合游戏领域，实时生成内容技术的应用会变的越来越常态化。游戏世界能够依据玩家的选择，实时生成场景、剧情与角色，将视觉、听觉、触觉等多种感官信息连接共鸣，让玩家全方位沉浸于游戏情境之中，彻底打破传统游戏内容固定的局限。本课程由杭州电子科技大学数字媒体技术系主任、副教授刘玉华主讲，主要内容是：思维链驱动游戏智能体设计与实现。",2025.9
"NGC70T2625095_2509","AI赋能游戏产业的前沿关键技术研究与应用（三）","刘玉华","杭州电子科技大学数字媒体技术系主任、副教授",52,"专家讲授精制视频","随着人工智能（AI）技术的飞速发展，其在游戏产业中的应用正逐渐从概念走向现实，成为推动游戏创作、体验和商业模式变革的重要力量。AI不仅能够显著提升游戏的创作效率和质量，还能为玩家带来更加丰富和个性化的游戏体验。未来，AI技术将会深度融合游戏领域，实时生成内容技术的应用会变的越来越常态化。游戏世界能够依据玩家的选择，实时生成场景、剧情与角色，将视觉、听觉、触觉等多种感官信息连接共鸣，让玩家全方位沉浸于游戏情境之中，彻底打破传统游戏内容固定的局限。本课程由杭州电子科技大学数字媒体技术系主任、副教授刘玉华主讲，主要内容是：玩家用户行为数据分析。",2025.9
"NGC70T2725095_2509","AI赋能游戏产业的前沿关键技术研究与应用（四）","刘玉华","杭州电子科技大学数字媒体技术系主任、副教授",25,"专家讲授精制视频","随着人工智能（AI）技术的飞速发展，其在游戏产业中的应用正逐渐从概念走向现实，成为推动游戏创作、体验和商业模式变革的重要力量。AI不仅能够显著提升游戏的创作效率和质量，还能为玩家带来更加丰富和个性化的游戏体验。未来，AI技术将会深度融合游戏领域，实时生成内容技术的应用会变的越来越常态化。游戏世界能够依据玩家的选择，实时生成场景、剧情与角色，将视觉、听觉、触觉等多种感官信息连接共鸣，让玩家全方位沉浸于游戏情境之中，彻底打破传统游戏内容固定的局限。本课程由杭州电子科技大学数字媒体技术系主任、副教授刘玉华主讲，主要内容是：AI在游戏产业中的挑战与机遇。",2025.9
"NGC70T1625105_2510","智核跃迁：大模型如何重塑人工智能的现在与未来（上）","李冰","浙江财经大学信息技术与人工智能学院人工智能系讲师",43,"专家讲授精制视频","自人工智能的概念诞生以来，人类致力于创造出具备近似或超越人类智能水平的智能计算系统，协助自身更加高效的解决问题和完成工作。伴随着互联网、大数据等信息技术的陆续诞生与普及，通过算法对数据进行分析挖掘以支持决策的应用范式逐渐渗透至各行各业。近年，生成式大语言模型的应用效果显著，带动以大模型为代表的人工智能技术加速渗透应用至人们的日常生活以及各行各业的实际生产经营中。本课程由浙江财经大学信息技术与人工智能学院人工智能系讲师李冰主讲，主要内容是：人工智能发展简史；人工智能思维；人工智能的前沿——大模型。",2025.10
"NGC70T1725105_2510","智核跃迁：大模型如何重塑人工智能的现在与未来（中）","李冰","浙江财经大学信息技术与人工智能学院人工智能系讲师",47,"专家讲授精制视频","自人工智能的概念诞生以来，人类致力于创造出具备近似或超越人类智能水平的智能计算系统，协助自身更加高效的解决问题和完成工作。伴随着互联网、大数据等信息技术的陆续诞生与普及，通过算法对数据进行分析挖掘以支持决策的应用范式逐渐渗透至各行各业。近年，生成式大语言模型的应用效果显著，带动以大模型为代表的人工智能技术加速渗透应用至人们的日常生活以及各行各业的实际生产经营中。本课程由浙江财经大学信息技术与人工智能学院人工智能系讲师李冰主讲，主要内容是：人工智能的前沿——大模型；AIGC应用与实践。",2025.10
"NGC70T1825105_2510","智核跃迁：大模型如何重塑人工智能的现在与未来（下）","李冰","浙江财经大学信息技术与人工智能学院人工智能系讲师",44,"专家讲授精制视频","自人工智能的概念诞生以来，人类致力于创造出具备近似或超越人类智能水平的智能计算系统，协助自身更加高效的解决问题和完成工作。伴随着互联网、大数据等信息技术的陆续诞生与普及，通过算法对数据进行分析挖掘以支持决策的应用范式逐渐渗透至各行各业。近年，生成式大语言模型的应用效果显著，带动以大模型为代表的人工智能技术加速渗透应用至人们的日常生活以及各行各业的实际生产经营中。本课程由浙江财经大学信息技术与人工智能学院人工智能系讲师李冰主讲，主要内容是：AIGC应用与实践。",2025.10
"NGC70T2925115_2511","数据挖掘在医疗中的应用——从理论到实践，赋能智慧医疗新未来（上）","李群","浙江财经大学数据科学学院讲师、硕士生导师",52,"专家讲授精制视频","我们正进入医疗数据爆炸时代，全球医疗数据每年增长约36%，数据已成为新型“医疗资源”。数据挖掘应用在医疗领域，可以同时对病历、医疗设备、医学影像之中的海量数据加以利用，顺应国家发展需要和智慧化时代潮流，助力建设智慧医院，实现智慧医疗，处理错误、缺失信息，让很多看似繁冗无用的医疗数据焕发新生机。本课程由浙江财经大学数据科学学院讲师、硕士生导师李群主讲，主要内容是：医疗大数据从哪里来；数据挖掘概述。",2025.11
"NGC70T3025115_2511","数据挖掘在医疗中的应用——从理论到实践，赋能智慧医疗新未来（中）","李群","浙江财经大学数据科学学院讲师、硕士生导师",43,"专家讲授精制视频","我们正进入医疗数据爆炸时代，全球医疗数据每年增长约36%，数据已成为新型“医疗资源”。数据挖掘应用在医疗领域，可以同时对病历、医疗设备、医学影像之中的海量数据加以利用，顺应国家发展需要和智慧化时代潮流，助力建设智慧医院，实现智慧医疗，处理错误、缺失信息，让很多看似繁冗无用的医疗数据焕发新生机。本课程由浙江财经大学数据科学学院讲师、硕士生导师李群主讲，主要内容是：数据挖掘概述；数据挖掘在医疗领域的意义。",2025.11
"NGC70T3125115_2511","数据挖掘在医疗中的应用——从理论到实践，赋能智慧医疗新未来（下）","李群","浙江财经大学数据科学学院讲师、硕士生导师",54,"专家讲授精制视频","我们正进入医疗数据爆炸时代，全球医疗数据每年增长约36%，数据已成为新型“医疗资源”。数据挖掘应用在医疗领域，可以同时对病历、医疗设备、医学影像之中的海量数据加以利用，顺应国家发展需要和智慧化时代潮流，助力建设智慧医院，实现智慧医疗，处理错误、缺失信息，让很多看似繁冗无用的医疗数据焕发新生机。本课程由浙江财经大学数据科学学院讲师、硕士生导师李群主讲，主要内容是：数据挖掘在医疗领域的意义；实际应用案例；挑战与应对；新机遇下的能力提升。",2025.11
"NGC70T3225115_2511","DeepSeek赋能财税数字化转型的新机遇与新挑战（上）","姜罗罗","浙江财经大学信息管理与人工智能学院教授、硕士生导师",42,"专家讲授精制视频","DeepSeek作为大模型技术，正在深度赋能财税领域的数字化转型，通过提升财务效率、优化决策流程和推动智能化升级，助力传统财务向数据驱动型财务的转变。本课程由浙江财经大学信息管理与人工智能学院教授、硕士生导师姜罗罗主讲，主要内容是：DeepSeek前传与人工智能算法。",2025.11
"NGC70T3325115_2511","DeepSeek赋能财税数字化转型的新机遇与新挑战（中）","姜罗罗","浙江财经大学信息管理与人工智能学院教授、硕士生导师",31,"专家讲授精制视频","DeepSeek作为大模型技术，正在深度赋能财税领域的数字化转型，通过提升财务效率、优化决策流程和推动智能化升级，助力传统财务向数据驱动型财务的转变。本课程由浙江财经大学信息管理与人工智能学院教授、硕士生导师姜罗罗主讲，主要内容是：DeepSeek前传与人工智能算法。",2025.11
"NGC70T3425115_2511","DeepSeek赋能财税数字化转型的新机遇与新挑战（下）","姜罗罗","浙江财经大学信息管理与人工智能学院教授、硕士生导师",53,"专家讲授精制视频","DeepSeek作为大模型技术，正在深度赋能财税领域的数字化转型，通过提升财务效率、优化决策流程和推动智能化升级，助力传统财务向数据驱动型财务的转变。本课程由浙江财经大学信息管理与人工智能学院教授、硕士生导师姜罗罗主讲，主要内容是：DeepSeek推理优势与智能税务；空间智能与AI税务未来展望。",2025.11
"NGC70X3525115_2511","DeepSeek大模型概述","江素珍","皖西学院副教授",29,"专家讲授精制视频","DeepSeek是由中国人工智能公司深度求索自主研发出的大规模语言模型（LLM），专注于通用人工智能（AGI）的技术探索与落地应用。DeepSeek的技术优势主要体现在算法创新、成本控制、开源策略及多领域应用等方面。本课程由皖西学院副教授江素珍主讲，主要内容是：人工智能与大模型技术演进；什么是DeepSeek；DeepSeek技术优势；DeepSeek怎么使用；DeepSeek的科研应用场景；DeepSeek的伦理挑战与治理框架。",2025.11
"NGC70X3625115_2511","DeepSeek辅助数据采集与处理","江素珍","皖西学院副教授",47,"专家讲授精制视频","数据采集与预处理涵盖了从数据获取到数据整理的多个环节。DeepSeek提供智能化的数据采集、清洗、格式转换、分析和可视化等工具，能够帮助科研人员高效采集和处理原始数据。本课程由皖西学院副教授江素珍主讲，主要内容是：传统学术数据处理的困境；智能辅助的范式转型；数据采集与预处理的学术价值与认知科学基础；数据采集预处理核心概念；DeepSeek技术架构与数据处理能力；数据采集的实战方法论；数据预处理的深度技术解析；高职教育研究特色数据处理；具体步骤的实战演练；数据采集与预处理的伦理规范。",2025.11
"NGC70X3725115_2511","DeepSeek辅助文本润色策略","江素珍","皖西学院副教授",48,"专家讲授精制视频","DeepSeek作为新一代学术写作助手，其价值不仅在于提升语言质量，更在于重塑学术表达范式。它可以快速优化语言表达，消除错误，规范学术用语，确保准确性，确保逻辑连贯、层次分明。在实践中，应遵循“技术赋能+人工把关”的原则，将工具应用融入研究方法论训练体系。未来，随着大模型与学术规范的深度融合，AI工具将成为培养学术新人的重要基础设施，推动学术传播向更高效、更规范的方向演进。本课程由皖西学院副教授江素珍主讲，主要内容是：学术文本润色的价值重构与技术革命；学术文本润色的语言学理论基础；DeepSeek技术架构与润色能力解析；学术语言规范化润色体系；逻辑结构优化润色方法论；跨语言学术写作润色方案；学术伦理与AI润色的边界管控；具体实操。",2025.11
"NGC70T3525125_2512","大数据赋能中小学教育：挖掘数据价值 助力教育创新（上）","张永全","浙江财经大学教授",42,"专家讲授精制视频","大数据技术正迅速渗透至金融、医疗、零售、教育等各行各业。教育领域运用大数据进行学习分析，预测学生表现，定制个性化教学方案，助力教育机构提前识别学生需求，提升教学质量和学生参与度，还能优化教育管理流程和评价体系，使教育评价更加全面和精准。教育数字化转型是适应数字时代、培养未来人才的关键步骤，推动教育体系从传统模式向数字化、个性化教学转变，以满足信息社会的需求。本课程由浙江财经大学教授张永全主讲，主要内容是：大数据在教育中的重要性；大数据赋能中小学教育的现状。",2025.12
"NGC70T3625125_2512","大数据赋能中小学教育：挖掘数据价值 助力教育创新（中）","张永全","浙江财经大学教授",38,"专家讲授精制视频","大数据技术正迅速渗透至金融、医疗、零售、教育等各行各业。教育领域运用大数据进行学习分析，预测学生表现，定制个性化教学方案，助力教育机构提前识别学生需求，提升教学质量和学生参与度，还能优化教育管理流程和评价体系，使教育评价更加全面和精准。教育数字化转型是适应数字时代、培养未来人才的关键步骤，推动教育体系从传统模式向数字化、个性化教学转变，以满足信息社会的需求。本课程由浙江财经大学教授张永全主讲，主要内容是：大数据赋能中小学教育的现状；大数据在中小学生心理健康中的应用。",2025.12
"NGC70T3725125_2512","大数据赋能中小学教育：挖掘数据价值 助力教育创新（下）","张永全","浙江财经大学教授",42,"专家讲授精制视频","大数据技术正迅速渗透至金融、医疗、零售、教育等各行各业。教育领域运用大数据进行学习分析，预测学生表现，定制个性化教学方案，助力教育机构提前识别学生需求，提升教学质量和学生参与度，还能优化教育管理流程和评价体系，使教育评价更加全面和精准。教育数字化转型是适应数字时代、培养未来人才的关键步骤，推动教育体系从传统模式向数字化、个性化教学转变，以满足信息社会的需求。本课程由浙江财经大学教授张永全主讲，主要内容是：大数据在中小学生心理健康中的应用；未来发展与展望。",2025.12
"NGC70T2326015_2601","机器人产业与国家战略的宏观背景（一）","李群","浙江财经大学数据科学学院讲师、硕士生导师",56,"专家讲授精制视频","机器人研发、制造、应用是衡量一个国家科技创新和高端制造业水平的重要标志。当前，机器人产业蓬勃发展，正极大改变着人类生产和生活方式，为经济社会发展注入强劲动能。世界主要工业发达国家均将机器人作为抢占科技产业竞争的前沿和焦点，加紧谋划布局。我国已转向高质量发展阶段，建设现代化经济体系，构筑美好生活新图景，迫切需要新兴产业和技术的强力支撑。面对新形势新要求，我国必须抢抓机遇，加快解决技术积累不足、产业基础薄弱、高端供给缺乏等问题，推动机器人产业迈向中高端。本课程由浙江财经大学数据科学学院讲师、硕士生导师李群主讲，主要内容是：机器人产业与国家战略的宏观背景；全球机器人产业发展趋势与中国定位。",2026.1
"NGC70T2426015_2601","机器人产业与国家战略的宏观背景（二）","李群","浙江财经大学数据科学学院讲师、硕士生导师",45,"专家讲授精制视频","机器人研发、制造、应用是衡量一个国家科技创新和高端制造业水平的重要标志。当前，机器人产业蓬勃发展，正极大改变着人类生产和生活方式，为经济社会发展注入强劲动能。世界主要工业发达国家均将机器人作为抢占科技产业竞争的前沿和焦点，加紧谋划布局。我国已转向高质量发展阶段，建设现代化经济体系，构筑美好生活新图景，迫切需要新兴产业和技术的强力支撑。面对新形势新要求，我国必须抢抓机遇，加快解决技术积累不足、产业基础薄弱、高端供给缺乏等问题，推动机器人产业迈向中高端。本课程由浙江财经大学数据科学学院讲师、硕士生导师李群主讲，主要内容是：国家政策体系与战略部署；机器人关键技术与创新突破。",2026.1
"NGC70T2526015_2601","机器人产业与国家战略的宏观背景（三）","李群","浙江财经大学数据科学学院讲师、硕士生导师",34,"专家讲授精制视频","机器人研发、制造、应用是衡量一个国家科技创新和高端制造业水平的重要标志。当前，机器人产业蓬勃发展，正极大改变着人类生产和生活方式，为经济社会发展注入强劲动能。世界主要工业发达国家均将机器人作为抢占科技产业竞争的前沿和焦点，加紧谋划布局。我国已转向高质量发展阶段，建设现代化经济体系，构筑美好生活新图景，迫切需要新兴产业和技术的强力支撑。面对新形势新要求，我国必须抢抓机遇，加快解决技术积累不足、产业基础薄弱、高端供给缺乏等问题，推动机器人产业迈向中高端。本课程由浙江财经大学数据科学学院讲师、硕士生导师李群主讲，主要内容是：机器人产业与应用场景拓展；机器人产业生态与产业链协同。",2026.1
"NGC70T2626015_2601","机器人产业与国家战略的宏观背景（四）","李群","浙江财经大学数据科学学院讲师、硕士生导师",47,"专家讲授精制视频","机器人研发、制造、应用是衡量一个国家科技创新和高端制造业水平的重要标志。当前，机器人产业蓬勃发展，正极大改变着人类生产和生活方式，为经济社会发展注入强劲动能。世界主要工业发达国家均将机器人作为抢占科技产业竞争的前沿和焦点，加紧谋划布局。我国已转向高质量发展阶段，建设现代化经济体系，构筑美好生活新图景，迫切需要新兴产业和技术的强力支撑。面对新形势新要求，我国必须抢抓机遇，加快解决技术积累不足、产业基础薄弱、高端供给缺乏等问题，推动机器人产业迈向中高端。本课程由浙江财经大学数据科学学院讲师、硕士生导师李群主讲，主要内容是：机器人产业发展面临的挑战与对策；机器人与新质生产力的融合路径；政策前瞻与发展建议；机器人典型案例与模式总结。",2026.1
"GC71I3519065_1906","“不忘初心、牢记使命”主题教育的目标和总要求（上）","曹鹏飞","中共中央党校（国家行政学院）党建教研部教授",40,"精品三分屏","本课程由《“不忘初心、牢记使命”主题教育的目标和总要求》系列课程的上半部分，由中共中央党校（国家行政学院）党建教研部教授曹鹏飞主讲，主要内容有：一、开展“不忘初心、牢记使命”主题教育的意义；二、开展“不忘初心、牢记使命”主题教育的目的。",2019.6
"GC71I3619065_1906","“不忘初心、牢记使命”主题教育的目标和总要求（中）","曹鹏飞","中共中央党校（国家行政学院）党建教研部教授",43,"精品三分屏","本课程由《“不忘初心、牢记使命”主题教育的目标和总要求》系列课程的第二部分，由中共中央党校（国家行政学院）党建教研部教授曹鹏飞主讲，主要内容有：三、开展“不忘初心、牢记使命”主题教育的活动目标；四、“不忘初心、牢记使命”主题教育的总要求。",2019.6
"GC71I3719065_1906","“不忘初心、牢记使命”主题教育的目标和总要求（下）","曹鹏飞","中共中央党校（国家行政学院）党建教研部教授",37,"精品三分屏","本课程由《“不忘初心、牢记使命”主题教育的目标和总要求》系列课程的下半部分，由中共中央党校（国家行政学院）党建教研部教授曹鹏飞主讲，主要内容有：四、“不忘初心、牢记使命”主题教育的总要求；五、把总要求贯彻落实在实际工作中。",2019.6
"GC71I3819065_1906","开展“不忘初心、牢记使命”主题教育的根本任务（上）","洪向华","中共中央党校（国家行政学院）科研部副巡视员、教授、博士生导师",33,"精品三分屏","本课程由中共中央党校（国家行政学院）科研部副巡视员、教授、博士生导师洪向华主讲，主要内容有：一、深入学习习近平新时代中国特色社会主义思想；二、锤炼忠诚干净担当的政治品格。",2019.6
"GC71I3919065_1906","开展“不忘初心、牢记使命”主题教育的根本任务（下）","洪向华","中共中央党校（国家行政学院）科研部副巡视员、教授、博士生导师",28,"精品三分屏","本课程由中共中央党校（国家行政学院）科研部副巡视员、教授、博士生导师洪向华主讲，主要内容有：二、锤炼忠诚干净担当的政治品格；三、团结带领全国各族人民为实现伟大梦想共同奋斗。",2019.6
"GC71I4019065_1906","开展“不忘初心、牢记使命”主题教育的重大意义（上）","洪向华","中共中央党校（国家行政学院）科研部副巡视员、教授、博士生导师",29,"精品三分屏","本课程是《开展“不忘初心、牢记使命”主题教育的重大意义》系列课程的上半部分，由中共中央党校（国家行政学院）科研部副巡视员、教授、博士生导师洪向华主讲，主要内容有：一、开展“不忘初心、牢记使命”主题教育是用习近平新时代中国特色社会主义思想武装全党的迫切需要；二、开展“不忘初心、牢记使命”主题教育是推进新时代党的建设的迫切需要。",2019.6
"GC71I4119065_1906","开展“不忘初心、牢记使命”主题教育的重大意义（下）","洪向华","中共中央党校（国家行政学院）科研部副巡视员、教授、博士生导师",30,"精品三分屏","本课程是《开展“不忘初心、牢记使命”主题教育的重大意义》系列课程的下半部分，由中共中央党校（国家行政学院）科研部副巡视员、教授、博士生导师洪向华主讲，主要内容有：三、开展“不忘初心、牢记使命”主题教育是保持党同人民群众血肉联系的迫切需要；四、开展“不忘初心、牢记使命”主题教育是实现党的十九大确定的目标任务的迫切需要。",2019.6
"GC71I4219065_1906","深入开展“不忘初心、牢记使命”主题教育（上）","任进","中共中央党校（国家行政学院）政治和法律教研部教授、博士生导师",37,"精品三分屏","本课程是《深入开展“不忘初心、牢记使命”主题教育》系列课程的上部，由中共中央党校（国家行政学院）政治和法律教研部教授、博士生导师任进主讲，主要内容包括：一、“不忘初心、牢记使命”主题教育的重大意义；二、“不忘初心、牢记使命”主题教育的根本任务、总要求和具体目标。",2019.6
"GC71I4319065_1906","深入开展“不忘初心、牢记使命”主题教育（下）","任进","中共中央党校（国家行政学院）政治和法律教研部教授、博士生导师",24,"精品三分屏","本课程是《深入开展“不忘初心、牢记使命”主题教育》系列课程的下部，由中共中央党校（国家行政学院）政治和法律教研部教授、博士生导师任进主讲，主要内容包括：二、“不忘初心、牢记使命”主题教育的根本任务、总要求和具体目标；三、“不忘初心、牢记使命”主题教育的组织领导和方法步骤。",2019.6
